TEAM_NAME,PACE,SEASON
San Antonio Spurs,89.41,2005-06
Seattle SuperSonics,93.04,2005-06
Toronto Raptors,92.33,2005-06
Utah Jazz,89.4,2005-06
Washington Wizards,93.68,2005-06
Atlanta Hawks,90.98,2006-07
Boston Celtics,92.91,2006-07
Charlotte Bobcats,93.11,2006-07
Chicago Bulls,94.47,2006-07
Cleveland Cavaliers,91.59,2006-07
Dallas Mavericks,90.68,2006-07
Denver Nuggets,98.2,2006-07
Detroit Pistons,88.56,2006-07
Golden State Warriors,99.97,2006-07
Houston Rockets,91.7,2006-07
Indiana Pacers,93.43,2006-07
Los Angeles Clippers,91.92,2006-07
Los Angeles Lakers,94.58,2006-07
Memphis Grizzlies,94.77,2006-07
Miami Heat,90.61,2006-07
Milwaukee Bucks,93.33,2006-07
Minnesota Timberwolves,92.19,2006-07
New Jersey Nets,92.69,2006-07
New Orleans/Oklahoma City Hornets,91.19,2006-07
New York Knicks,91.89,2006-07
Orlando Magic,90.54,2006-07
Philadelphia 76ers,91.84,2006-07
Phoenix Suns,96.45,2006-07
Portland Trail Blazers,89.36,2006-07
Sacramento Kings,95.83,2006-07
San Antonio Spurs,90.22,2006-07
Seattle SuperSonics,92.92,2006-07
Toronto Raptors,93.86,2006-07
Utah Jazz,92.81,2006-07
Washington Wizards,95.33,2006-07
Atlanta Hawks,92.35,2007-08
Boston Celtics,91.88,2007-08
Charlotte Bobcats,92.75,2007-08
Chicago Bulls,94.04,2007-08
Cleveland Cavaliers,91.06,2007-08
Dallas Mavericks,91.38,2007-08
Denver Nuggets,100.58,2007-08
Detroit Pistons,88.54,2007-08
Golden State Warriors,99.96,2007-08
Houston Rockets,91.42,2007-08
Indiana Pacers,98.64,2007-08
Los Angeles Clippers,93.38,2007-08
Los Angeles Lakers,96.7,2007-08
Memphis Grizzlies,96.33,2007-08
Miami Heat,91.24,2007-08
Milwaukee Bucks,92.61,2007-08
Minnesota Timberwolves,92.84,2007-08
New Jersey Nets,92.96,2007-08
New Orleans Hornets,91.04,2007-08
New York Knicks,92.76,2007-08
Orlando Magic,94.02,2007-08
Philadelphia 76ers,91.56,2007-08
Phoenix Suns,97.72,2007-08
Portland Trail Blazers,89.1,2007-08
Sacramento Kings,95.81,2007-08
San Antonio Spurs,89.72,2007-08
Seattle SuperSonics,97.32,2007-08
Toronto Raptors,91.35,2007-08
Utah Jazz,94.64,2007-08
Washington Wizards,90.85,2007-08
Atlanta Hawks,90.44,2008-09
Boston Celtics,91.15,2008-09
Charlotte Bobcats,89.18,2008-09
Chicago Bulls,94.1,2008-09
Cleveland Cavaliers,89.61,2008-09
Dallas Mavericks,92.68,2008-09
Denver Nuggets,95.39,2008-09
Detroit Pistons,88.02,2008-09
Golden State Warriors,99.57,2008-09
Houston Rockets,91.23,2008-09
Indiana Pacers,97.34,2008-09
Los Angeles Clippers,93.3,2008-09
Los Angeles Lakers,95.49,2008-09
Memphis Grizzlies,91.22,2008-09
Miami Heat,90.8,2008-09
Milwaukee Bucks,93.89,2008-09
Minnesota Timberwolves,92.76,2008-09
New Jersey Nets,91.12,2008-09
New Orleans Hornets,88.74,2008-09
New York Knicks,97.82,2008-09
Oklahoma City Thunder,95.1,2008-09
Orlando Magic,92.99,2008-09
Philadelphia 76ers,91.3,2008-09
Phoenix Suns,96.99,2008-09
Portland Trail Blazers,88.02,2008-09
Sacramento Kings,95.29,2008-09
San Antonio Spurs,89.19,2008-09
Toronto Raptors,93.26,2008-09
Utah Jazz,94.47,2008-09
Washington Wizards,92.26,2008-09
Atlanta Hawks,90.77,2009-10
Boston Celtics,92.22,2009-10
Charlotte Bobcats,90.91,2009-10
Chicago Bulls,94.02,2009-10
Cleveland Cavaliers,91.77,2009-10
Dallas Mavericks,93.6,2009-10
Denver Nuggets,95.61,2009-10
Detroit Pistons,89.46,2009-10
Golden State Warriors,101.52,2009-10
Houston Rockets,94.91,2009-10
Indiana Pacers,97.77,2009-10
Los Angeles Clippers,93.44,2009-10
Los Angeles Lakers,93.73,2009-10
Memphis Grizzlies,94.29,2009-10
Miami Heat,90.3,2009-10
Milwaukee Bucks,92.6,2009-10
Minnesota Timberwolves,97.12,2009-10
New Jersey Nets,92.65,2009-10
New Orleans Hornets,93.53,2009-10
New York Knicks,95.03,2009-10
Oklahoma City Thunder,94.13,2009-10
Orlando Magic,92.54,2009-10
Philadelphia 76ers,92.72,2009-10
Phoenix Suns,96.43,2009-10
Portland Trail Blazers,88.64,2009-10
Sacramento Kings,94.78,2009-10
San Antonio Spurs,92.26,2009-10
Toronto Raptors,93.94,2009-10
Utah Jazz,94.68,2009-10
Washington Wizards,92.6,2009-10
Atlanta Hawks,90.22,2010-11
Boston Celtics,90.92,2010-11
Charlotte Bobcats,90.3,2010-11
Chicago Bulls,91.2,2010-11
Cleveland Cavaliers,93.76,2010-11
Dallas Mavericks,92.24,2010-11
Denver Nuggets,96.06,2010-11
Detroit Pistons,89.79,2010-11
Golden State Warriors,95.85,2010-11
Houston Rockets,95.14,2010-11
Indiana Pacers,95.5,2010-11
