TEAM_NAME,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%,SEASON
Utah Jazz,2869,6374,280,842,45.01098211484154,33.2541567695962,2589,5532,46.800433839479396,2001-02
Washington Wizards,2938,6664,305,786,44.087635054021604,38.80407124681934,2633,5878,44.79414766927526,2001-02
Atlanta Hawks,2859,6434,402,1141,44.43580976064656,35.232252410166524,2457,5293,46.419799735499716,2002-03
Boston Celtics,2700,6509,719,2155,41.48102627131664,33.364269141531324,1981,4354,45.4983922829582,2002-03
Chicago Bulls,2991,6714,349,997,44.548704200178726,35.00501504513541,2642,5717,46.213048801819134,2002-03
Cleveland Cavaliers,2850,6746,293,897,42.24725763415357,32.6644370122631,2557,5849,43.71687467943238,2002-03
Dallas Mavericks,3161,6982,636,1668,45.273560584359785,38.1294964028777,2525,5314,47.51599548362815,2002-03
Denver Nuggets,2689,6544,229,824,41.09107579462103,27.791262135922327,2460,5720,43.00699300699301,2002-03
Detroit Pistons,2700,6277,533,1488,43.01417874780946,35.81989247311828,2167,4789,45.24953017331384,2002-03
Golden State Warriors,3061,6941,425,1235,44.100273735772944,34.41295546558704,2636,5706,46.196985629162285,2002-03
Houston Rockets,2840,6461,439,1267,43.956043956043956,34.64877663772691,2401,5194,46.22641509433962,2002-03
Indiana Pacers,2911,6608,379,1119,44.05266343825666,33.86952636282395,2532,5489,46.128620878119875,2002-03
Los Angeles Clippers,2835,6490,390,1178,43.68258859784284,33.106960950764005,2445,5312,46.02786144578313,2002-03
Los Angeles Lakers,3091,6856,486,1367,45.08459743290548,35.55230431602048,2605,5489,47.45855347057752,2002-03
Memphis Grizzlies,3049,6743,467,1279,45.217262346136735,36.512900703674745,2582,5464,47.25475841874085,2002-03
Miami Heat,2688,6517,348,1100,41.245972073039745,31.636363636363633,2340,5417,43.1973417020491,2002-03
Milwaukee Bucks,3045,6670,585,1526,45.65217391304348,38.33551769331586,2460,5144,47.82270606531882,2002-03
Minnesota Timberwolves,3172,6809,296,804,46.58540167425466,36.81592039800995,2876,6005,47.89342214820982,2002-03
New Jersey Nets,2906,6585,346,1041,44.13059984813971,33.23727185398655,2560,5544,46.17604617604618,2002-03
New Orleans Hornets,2914,6695,404,1075,43.52501867064974,37.58139534883721,2510,5620,44.661921708185055,2002-03
New York Knicks,2967,6725,606,1582,44.118959107806695,38.305941845764856,2361,5143,45.907058137273964,2002-03
Orlando Magic,2947,6763,568,1590,43.5753363891764,35.72327044025157,2379,5173,45.9887879373671,2002-03
Philadelphia 76ers,2975,6640,245,787,44.80421686746988,31.13087674714104,2730,5853,46.64274730907227,2002-03
Phoenix Suns,3005,6776,394,1149,44.34769775678867,34.29068755439513,2611,5627,46.40127954505065,2002-03
Portland Trail Blazers,2987,6491,379,1150,46.01756277923278,32.95652173913044,2608,5341,48.829807152218685,2002-03
Sacramento Kings,3242,6990,491,1288,46.380543633762514,38.121118012422365,2751,5702,48.24622939319537,2002-03
San Antonio Spurs,2908,6297,449,1270,46.180720978243606,35.35433070866142,2459,5027,48.9158543863139,2002-03
Seattle SuperSonics,2887,6599,456,1291,43.74905288680103,35.321456235476376,2431,5308,45.79879427279578,2002-03
Toronto Raptors,2847,6664,409,1193,42.72208883553421,34.28331936295054,2438,5471,44.562237250959605,2002-03
Utah Jazz,2894,6189,224,641,46.76038132169979,34.945397815912635,2670,5548,48.125450612833454,2002-03
Washington Wizards,2816,6394,253,811,44.041288708163904,31.1960542540074,2563,5583,45.907218341393516,2002-03
Atlanta Hawks,2829,6529,419,1249,43.329759534385055,33.54683746997598,2410,5280,45.64393939393939,2003-04
Boston Celtics,2843,6415,553,1599,44.31800467653936,34.58411507191995,2290,4816,47.54983388704319,2003-04
Chicago Bulls,2798,6753,429,1256,41.433436990966975,34.15605095541402,2369,5497,43.09623430962343,2003-04
Cleveland Cavaliers,2922,6753,247,786,43.26965792980897,31.424936386768447,2675,5967,44.829897771074236,2003-04
Dallas Mavericks,3322,7230,507,1456,45.94744121715076,34.82142857142857,2815,5774,48.753030827848974,2003-04
